cl_1_discrepancy,cl_2_discrepancy,cl_3_discrepancy,cl_4_discrepancy,cl_5_discrepancy,cl_6_discrepancy,cl_7_discrepancy,cl_8_discrepancy,cl_9_discrepancy,cl_10_discrepancy,cl_11_discrepancy,cl_12_discrepancy,cl_13_discrepancy,cl_14_discrepancy,cl_15_discrepancy,cl_16_discrepancy,cl_17_discrepancy,cl_18_discrepancy,cl_19_discrepancy,cl_20_discrepancy,cl_21_discrepancy,cl_22_discrepancy,cl_23_discrepancy,cl_24_discrepancy,cl_25_discrepancy,cl_26_discrepancy,cl_27_discrepancy,cl_28_discrepancy,cl_29_discrepancy,cl_30_discrepancy,RMSE,elpd_loo,elpd_loo_se,p_loo,p_loo_se
8.94E-05,0.109966901,0.060273926,0.059456218,0.101739652,0.140129011,-0.044744875,-0.047600207,-0.033370975,0.0078712,0.132297622,-0.033942341,0.150517531,-0.009425717,0.120627534,-0.026262808,-0.086031423,-0.150513686,0.013981907,-0.08755816,-0.12397958,-0.089743116,-0.176889525,0.056918745,0.004945458,0.078166099,-0.169185738,0.097818776,-0.014172834,0.031867671,0.091787141,-4504.505002,39.54540382,435.8221143,12.03905421
-0.070647604,0.049224736,0.060712491,0.131302381,-0.01781657,0.324247324,0.068868404,0.065630551,0.090448579,0.085718469,-0.033406019,-0.165478853,0.157516928,-0.203244291,0.11688019,-0.059486271,-0.063099933,-0.068956239,0.047424873,0.005062775,-0.069912412,0.035030564,-0.012100861,-0.090095882,-0.036050456,0.062982098,0.054218839,0.014358556,-0.079672031,-0.074222211,0.102607731,-4550.925993,39.02875142,440.3027916,11.6657536
-0.018933809,0.176871725,0.075020411,0.099967679,0.041267053,0.292488347,-0.038454561,-0.037596382,-0.064750824,0.079105433,0.058821128,-0.042503711,0.100238072,-0.099767871,0.083300448,0.065653796,-0.029133785,0.004979468,-0.070168294,0.091943368,-0.097400766,-0.015318642,0.067749829,0.096634741,-0.006451774,0.073142917,-0.043990443,0.078098973,0.056406215,0.009517968,0.08925149,-4583.65058,37.81207946,436.4146639,11.15915781
-0.103887447,-0.021180764,-0.010228125,0.117165287,-0.108078297,0.15969568,-0.155827137,0.029749026,0.000948424,0.12688276,0.01129101,0.010745564,0.020831849,0.099090941,-0.088963873,0.058476001,-0.004908898,0.070635836,-0.061152225,-0.02690495,-0.095831354,0.107288703,-0.001283077,0.099979926,-0.09593533,0.150853679,-0.032137086,0.117267569,0.053957029,0.065917091,0.085542351,-4549.471232,39.62413004,461.6072334,12.43421509
0.04717438,0.030343508,-0.057702076,0.123751393,0.032772385,0.283766457,0.023254232,0.01222769,-0.163354778,0.003355911,0.011343504,-0.044615955,0.057256028,0.002024035,0.143895223,-0.048832058,-0.104229181,-0.02824622,0.077359159,0.113388848,-0.032341874,0.069708619,0.023169351,0.089125745,0.028844794,0.120920776,0.021220378,0.092163436,-0.007872361,0.040530057,0.08760847,-4508.42357,39.20494613,461.7274349,13.57287508
-0.135087687,0.05979126,-0.076945306,0.129745302,0.028440612,0.308557936,-0.064820967,-0.069214261,-0.014620107,-0.086079539,0.055016508,0.127387975,-0.124790998,0.084321567,-0.000987138,-0.004165366,-0.106935064,0.088087206,-0.015772755,0.117917226,-0.104302186,0.189988233,-0.076877828,0.064645885,-0.117153977,0.231830929,0.024914745,0.254778228,-0.04479654,-0.019121314,0.119017323,-4497.920351,37.81947872,433.5727796,11.32958685
-0.077634953,0.154273012,-0.13209877,0.105751802,-0.075386995,0.274226934,-0.040882207,0.050601442,-0.107393253,-0.004533958,-0.043157691,0.015856903,-0.004449498,-0.097674718,-0.005411942,0.00063716,-0.12744063,0.030711266,-0.107723546,0.062706708,0.033408912,0.084742778,0.038823635,0.097998622,-0.035412718,0.186769404,-0.116121323,-0.003278798,0.027376725,-0.006810025,0.094761282,-4463.860016,38.70384482,443.0339238,12.0513291
0.003579366,0.020216079,-0.055356286,0.180013749,0.002865079,0.168944813,0.121721677,0.064599152,-0.002988757,0.017487496,-0.025681038,0.009441124,0.06514675,0.019151355,0.034353284,0.008701274,-0.028888509,-0.036370098,0.014995181,0.028400924,-0.003270149,0.158673292,-0.094010068,0.12126275,0.013538678,0.019546661,0.02815768,0.091035564,0.05552949,0.008476612,0.071898308,-4530.277952,39.9979557,452.083652,12.52104985
-0.037156375,-0.089615061,-0.095845501,-0.068994318,0.072454896,0.211392945,0.061174628,0.091503044,0.116306026,0.047292577,0.157627377,0.031485493,0.100539059,-0.068182093,0.002390985,-0.000967718,0.032179522,-0.083521953,0.015045492,-0.096739422,-0.122162383,0.078673056,-0.116854925,-0.040062178,-0.089713126,0.074852124,-0.054426969,0.055139714,-0.058979208,-0.125406674,0.08843145,-4545.431335,38.63844095,449.3308816,12.05329909
-0.152730624,0.117598574,-0.055070195,0.101987202,-0.113947076,0.271200803,-0.046856948,0.083865267,0.01539358,0.013437195,-0.048105561,-0.005445635,-0.012229029,0.017329543,0.017615691,0.090274483,-0.005287669,-0.156084269,-0.110175497,0.0177274,0.0094257,-0.024939884,0.04473469,0.178868108,-0.021214432,0.230902105,0.003984296,0.004267736,-0.007394096,0.007586279,0.097208551,-4450.842708,39.36613411,437.235218,11.81713169
0.011465451,0.122722785,-0.102124041,0.057596004,-0.052519982,0.231383218,-0.058142256,0.059270844,0.198920569,0.175593569,0.081366492,0.027840479,-0.141025946,-0.027563743,0.156136609,0.005545784,0.139224249,0.006231827,-0.084322421,0.084889224,-4.75E-05,0.101502873,0.033154558,-0.003874658,-0.009677035,0.064192794,0.00702564,0.153202005,-0.055781601,0.102867531,0.100261036,-4546.220997,37.52661811,471.6814437,12.19080347
0.051146458,0.010264321,0.037668526,0.235040624,-0.048182052,0.154863273,-0.048352553,0.019994265,-0.084073339,-0.018787547,0.00387476,0.156144082,0.037088547,0.000438276,0.048854687,-0.059954214,0.065358356,-0.099202665,0.009488772,-0.006489749,-0.040554722,0.106862426,-0.01571727,0.094628601,0.048742574,0.061295857,-0.031525393,-0.022970852,-0.040975815,0.022313139,0.076145227,-4515.799529,38.33462056,468.3220701,12.23989254
-0.05053443,0.030276801,-0.067414392,-0.018497867,-0.135263449,0.279538742,-0.074194187,0.028760041,-0.013194656,0.063506575,0.044794483,-0.045337775,0.133397737,-0.175377857,-0.00641756,-0.078382892,-0.056638631,-0.123539578,-0.032786824,0.091276719,-0.010041665,0.004255462,-0.007217834,0.026065185,-0.157706903,0.039848773,0.055025269,0.084075001,-0.02103325,-0.005841471,0.089422793,-4506.718086,38.86478628,438.8272432,11.96357202
-0.166853537,0.112153346,0.059299765,-0.046256474,-0.128627144,0.15138641,-0.07763317,0.200870911,-0.117417323,0.005772573,0.017729058,-0.069033243,0.00303019,-0.001222731,-0.037750255,0.042428186,-0.100616038,0.020642608,-0.065505027,0.014790785,0.029188326,0.05820448,0.080893537,0.134462395,-0.092976092,0.184461283,-0.089073791,0.047973143,-0.06048882,0.005091424,0.092116464,-4485.539051,37.33007041,453.7852713,10.98416581
-0.111970447,-0.497077294,-0.035206304,-0.635076598,0.055152254,0.201867141,0.036820226,-0.277929988,-0.03448468,-0.238545525,-0.032629338,-0.031112804,0.028143617,0.088082643,0.121105226,-0.166697643,0.072268363,0.01170706,0.039112353,0.01759028,-0.544189113,0.041608142,-0.561586866,0.014415706,-0.433259469,0.119141837,-0.456161432,0.055488313,-0.137846244,-0.066142224,0.255265593,-4514.39158,38.6633869,439.8359,12.04864377
0.005850963,0.19690149,0.047927299,0.107235947,-0.104822882,0.276698062,0.017201075,0.109549569,0.073188256,0.096181945,0.108529944,0.017158586,0.030360734,0.067349984,0.104783816,-0.030449412,-0.006276894,-0.00169434,-0.010632457,0.117043677,0.013779287,0.162759976,-0.015528327,0.100399854,0.030567493,0.111027631,-0.102383277,-0.004159451,0.024171904,0.070337316,0.096028147,-4540.746969,37.87037166,446.8038665,11.27605548
-0.038183399,0.039595313,-0.009985226,-0.024108425,0.102972171,0.28934146,-0.007482864,-0.016624998,-0.04499784,-0.054301307,0.088505912,0.019840455,0.05690663,-0.02442576,0.144351858,-0.039315054,0.094601554,0.010249466,-0.026732225,0.007912599,-0.110747477,0.072608146,-0.088341202,0.056393859,0.000738699,0.272438129,-0.082268493,-0.009765489,-0.052866994,-0.00535066,0.093102544,-4536.783692,40.00647323,419.4818611,11.2949908
0.077025924,0.015788781,-0.014349478,-0.087324089,-0.182768752,0.582293428,0.119232711,0.019192114,0.054716365,-0.019314326,0.090656597,-0.520289973,0.111925506,-0.48220459,-0.001128683,-0.506118899,0.005253324,-0.301385311,0.06567445,-0.297934405,-0.052537386,-0.604884996,-0.158829313,-0.382237054,-0.103638732,-0.077840392,-0.013944437,-0.449526016,-0.013416082,-0.283836294,0.271311005,-4542.812976,38.60197864,449.7204684,11.7317504
-0.066908916,0.200628262,-0.058289207,0.13751061,0.05556744,0.207006984,0.024137854,0.1026903,0.034562528,0.166011024,0.015058669,0.037996304,0.036517638,-0.009298757,0.045229664,-0.039623418,0.068093544,-0.073275278,0.062290503,-0.126568612,-0.13947476,0.014368934,0.060222958,0.143319403,0.086095407,0.093393744,-0.048076164,-0.021796237,-0.081388577,0.115529485,0.095252005,-4462.922887,38.16917102,482.4357847,12.84344719
-0.074085435,0.073027301,0.040823137,0.123382053,-0.002967403,0.145944645,-0.006211552,0.066467669,0.00182984,0.046391193,-0.065925692,0.03058046,0.038854792,0.020102536,-0.048613091,0.052450796,0.188997461,-0.01067336,0.105272412,-0.096411821,-0.037919999,0.101106885,0.076242682,-0.084694038,-0.095754554,0.241223429,-0.073916598,0.126082369,-0.086867122,0.003049389,0.090383035,-4512.359896,37.6679774,432.6119027,11.23651924
0.05180775,0.189578107,0.016741997,0.12391595,-0.024897433,0.242880547,-0.047846618,-0.018599942,-0.102185136,0.058341876,0.053004606,-0.005137211,0.004014878,-0.085516097,0.093401925,0.00746175,0.049296947,0.01251312,-0.002840991,0.042802913,0.038202214,0.1570786,-0.052905978,0.014638823,-0.002417506,0.123905302,0.011607109,0.019072891,-0.128513163,0.101878714,0.086721925,-4533.888109,38.43058891,459.7393058,11.92130824
0.144374814,0.20071658,0.098172608,0.037633753,-0.0512752,0.177271339,-0.05222574,0.012605488,0.003078201,-0.075180042,-0.003003233,-0.06850194,0.109764979,-0.135452862,0.050536853,0.064120531,0.242896682,0.037051571,0.013001317,-0.19071336,-0.063646994,0.055627584,-0.018886978,-0.051207775,-0.072850117,0.111250287,-0.016042096,0.025678577,0.123048568,-0.161230686,0.103814536,-4554.474353,37.59772766,478.4229438,12.09985473
0.019774157,0.059842001,-0.078133927,-0.021157811,-0.046678593,0.165548979,0.015932372,-0.058749904,-0.117553762,-0.048239618,0.040086106,0.11494577,-0.070442675,0.013628979,0.075932826,-0.010315427,-0.053653436,0.00539686,0.005300862,-0.019667772,-0.044676501,0.241280235,-0.120527065,0.00808335,-0.087225264,0.145504557,-0.115313908,0.04465352,-0.175106112,0.087651952,0.090617135,-4555.979814,38.54085006,431.6654138,12.21002838
-0.189673855,-0.527353776,-0.143125212,-0.485604326,-0.064603284,0.221389582,-0.006607534,-0.427586504,0.144030006,-0.333756652,-0.0550947,0.072168611,0.003767465,0.087599163,0.111166933,-0.028701252,-0.053810731,0.060937505,0.045629603,0.147129774,-0.440779127,0.15033494,-0.507981936,0.138822471,-0.337430773,0.136914791,-0.49400621,0.037564201,-0.315356261,0.03556738,0.25632026,-4546.539047,39.3014877,442.0031386,11.53203085
-0.104559328,0.022650545,0.136369487,0.141849275,0.086148711,0.25012896,-0.035595341,0.124546987,-0.098233885,-0.017409933,0.018346539,-0.097545332,-0.059802467,0.053419993,0.138786732,0.02667155,0.100714852,-0.028711871,0.062610846,0.13738981,-0.019632647,0.11836388,-0.091420119,-0.005762174,0.081737868,0.255481714,-0.026194249,-0.032524134,0.059344793,0.018548502,0.102834575,-4456.76554,38.10775557,458.2943292,11.89088519
-0.056391671,0.154621496,0.138942311,0.036974355,0.062350522,0.252137698,-0.088461082,0.142326771,0.033969555,0.062272179,0.008414562,-0.030815353,0.085989621,0.089389575,0.041260863,-0.040333189,0.095507481,-0.067312829,0.020305993,0.010919813,0.049123673,0.126432591,-0.049971825,-0.02131634,-0.02467044,0.091024767,0.034082587,0.095671111,-0.109272246,-0.025168069,0.088578781,-4501.048696,38.16235191,452.7550381,11.93270955
0.059535668,0.05794629,0.121897467,0.223893908,0.018706722,0.120718691,0.039028493,-0.03054405,0.11920688,0.048558849,0.059858266,-0.119268206,0.190829317,-0.038429011,0.130228632,-0.096335979,0.009671505,0.058240649,0.128041422,0.00821752,-0.165386898,0.1055778,-0.066622936,0.100020366,0.060341588,0.173035029,0.091999235,-0.145182581,0.102415197,0.037618269,0.105782111,-4534.804451,36.46800582,447.793874,11.29242051
-0.028108235,0.184002057,-0.004230806,0.231605819,0.020377668,0.101275305,-0.035130132,0.138353047,-0.075987594,0.080023638,0.045622975,0.028616845,0.07690422,-0.050595593,0.062319791,0.013516684,0.064521901,0.04398953,-0.047834223,0.09154045,-0.001511449,0.057207371,-0.090296056,0.059804016,0.029625793,0.26909484,-0.024653794,0.055238314,-0.060728369,-0.031625481,0.093162978,-4556.304149,38.35696785,449.1965674,12.29659137
0.002998654,-0.02408291,0.00157946,0.100876693,-0.079114361,0.269465971,-0.031670338,0.182234212,0.070429426,0.082995384,0.075957674,-0.006281443,0.014132635,0.064313959,-0.007797661,0.014980271,0.019939306,0.032182508,-0.111058896,-0.13006292,0.058512168,0.209042292,0.005041923,0.019824004,0.091996575,0.029399036,-0.089502627,0.003572648,-0.138549006,-0.027506308,0.093391249,-4567.291325,38.14580838,458.3579816,11.80753495
-0.081687892,0.035283604,-0.056684728,-0.042273904,-0.015894046,0.293483724,0.016289041,-0.006817981,0.069478716,0.043490999,0.07225862,0.028561271,-0.013481296,-0.025027958,0.058536991,0.061901567,0.070435936,0.077819432,0.035295269,0.08276803,-0.050115969,0.02242491,-0.130933741,0.029093297,-0.13948197,0.188526872,0.00348235,0.111858024,-0.09170214,0.039709868,0.089081162,-4499.842358,39.8553333,425.8955843,11.4933965
0.038005098,0.007045539,-0.088844527,0.146613777,0.032935538,0.104311154,0.020972289,0.095203783,-0.093957677,-0.07821528,0.01720872,0.054842919,0.016544605,0.016413133,0.100509078,-0.027322797,0.045099521,-0.022718209,0.036525109,-0.031759932,-0.183324579,-0.094017407,-0.103287791,0.061883838,-0.061225821,0.200632382,0.037643379,0.051691037,0.001037807,0.059871437,0.080727535,-4549.279115,38.99855543,455.7555853,12.19477407
0.198277437,0.180921138,-0.045106676,0.128003486,-0.174586285,0.321535476,0.11900086,0.150506452,-0.096043889,0.007648679,-0.033643217,-0.04482523,-0.012895885,-0.098723989,0.070639021,0.016101553,-0.027805281,-0.110441588,0.091921692,-0.076948926,0.033414177,-0.007537079,-0.002281301,-0.000980556,-0.028460509,0.103898568,0.063944442,-0.013989718,0.133297867,-0.014880153,0.108186667,-4493.785559,39.25355377,449.8302164,11.91220839
-0.159703164,0.130715017,-0.055991728,0.266541659,-0.131738178,0.169674159,-0.063689317,0.079080335,-0.165198539,-0.020735967,-0.077546579,-0.036085288,-0.054541583,-0.010426867,-0.020316626,0.009027138,-0.125727311,-0.063215952,-0.046213773,0.100043753,0.078365237,0.073881047,0.000550173,0.043089071,-0.017137142,0.286507193,0.012617877,0.087926015,-0.030266274,0.000893895,0.107769959,-4433.738533,38.33298928,431.3336816,11.0787095
0.138388037,-0.028176053,-0.021297387,0.096505005,0.06854605,0.193390288,-0.011316287,0.16312972,-0.086860768,0.056596808,0.098857162,-0.195692263,-0.071361543,0.080896286,0.131772512,0.093108111,0.065578897,4.37E-05,0.063819142,-0.036150291,-0.143738734,-0.016720132,-0.023236189,0.030029225,0.092072398,0.186846951,-0.020539762,0.08874434,0.028954286,0.115902177,0.098835932,-4497.673601,37.76095805,465.5201697,11.85705792
-0.01646758,0.146568228,-0.075358447,0.057775681,0.145867968,0.294080415,-0.04395805,0.091836647,0.175662164,0.013520843,0.033306267,-0.058645809,0.062396282,-0.032893445,0.150599739,-0.087184878,-0.070426346,0.055597606,0.084533766,-0.036427442,0.154930728,-0.030680712,0.096980822,0.251122059,-0.089312255,0.013661455,-0.079753326,0.057697623,-0.047057178,0.051932099,0.109002037,-4489.421699,39.36450228,448.6419009,11.88928671
0.024075317,0.110481459,-0.052532059,-0.019899456,0.051584038,0.169048718,0.101236186,0.084295975,0.066264303,-0.026407889,0.084219387,-0.206696354,0.084807517,-0.123871025,0.105457615,-0.262897643,0.019154304,-0.205842919,0.010815845,-0.035744103,-0.01261003,-0.196060782,-0.01415138,-0.150245211,0.003042057,0.111601806,-0.009066097,-0.131675118,0.046531065,-0.072168974,0.110298924,-4472.677477,39.14120751,443.651987,11.51886646
0.061134182,0.041620107,0.080456888,-0.028320241,0.006613319,0.297085525,0.088487207,0.033059274,0.036493824,0.069493537,-0.017724086,-0.054510638,0.075291212,-0.005804103,0.25637076,-0.060769329,0.10491331,-0.078422318,0.148304433,0.0778733,-0.00463546,-0.085356319,-0.199138684,0.164585251,0.092233969,0.191029922,-0.073297272,0.01441894,0.019259863,0.009433744,0.110279395,-4541.659385,37.82430824,440.8184988,11.40948579
-0.038642596,0.068626011,-0.008321478,0.084727124,0.100605551,0.339935827,-0.008670174,0.088747093,0.033311545,0.092040772,0.099278964,-0.121386039,-0.007704151,0.030449916,0.112429953,0.134711648,0.098756573,-0.028207395,0.129039745,-0.075146105,0.039627866,0.186555276,-0.058897299,0.10941565,-0.116742037,-0.05388627,0.085452882,0.020095745,-0.05651465,0.089935184,0.105389346,-4591.668972,38.74060716,462.298542,12.52844366
0.065599952,0.042137844,-0.06815568,0.197262801,0.183728168,0.238126331,0.004018314,0.121372226,-0.225011459,-0.027388816,-0.034878013,0.008338228,0.09392844,0.001252909,0.052455537,-0.134408793,0.018943912,0.042241201,0.055803614,-0.066201719,0.002598032,0.031992405,-0.032456264,0.013929058,-0.024511672,0.116789559,0.114044429,0.011993426,0.057964307,0.094797372,0.098116706,-4534.260432,39.59816924,449.121136,12.02882976
-0.034071558,0.083467191,0.044724032,0.137744952,0.079737522,0.175988947,-0.161411864,-0.004056002,-0.04520186,0.237879096,0.030836025,0.019968693,-0.008879045,-0.056724541,0.148090299,0.001139631,0.031018546,-0.087157298,-0.020705185,0.056678887,-0.038213628,0.097767258,-0.010146233,0.020507893,0.098587643,0.107578124,-0.165954034,-0.021834827,0.003758895,0.043430341,0.091771853,-4514.358014,37.85038094,449.8725964,11.5336634
0.018720173,0.012910962,0.072822387,0.061268063,0.025843568,0.289908095,-0.110574695,0.148512468,0.001986577,0.052411027,0.088705534,-0.048830009,0.019711161,-0.02785897,0.031560945,0.072538203,0.112453803,0.003030132,0.094890882,0.017886159,0.07100196,0.157644084,-0.039162309,-0.054245602,-0.074621212,0.104367055,-0.049704153,0.082486351,0.008607614,-0.014910117,0.087821394,-4556.170257,38.89870955,450.9386775,12.38150728
-0.400613997,-0.084908284,-0.344681566,-0.116966333,-0.308592881,0.293152565,-0.31927057,-0.028964979,-0.188471248,-0.010212835,-0.179795,-0.055162469,-0.146478162,0.008660758,-0.110554588,0.02600873,-0.150733279,0.086526837,-0.166976333,0.000231644,-0.170870175,0.061630954,-0.118388296,0.096399696,-0.146696801,0.497312965,-0.051431287,0.123290591,-0.082572301,0.058942851,0.19156576,-4629.843217,38.28969214,431.1043718,10.96725642
0.184297474,0.007623266,0.163204743,0.030163484,-0.24003251,0.331886467,0.055705534,-0.081849673,0.13240001,0.020235097,0.078123382,-0.433367817,0.163270738,-0.460292664,0.01199848,-0.360071406,0.093220258,-0.288966906,-0.09691391,-0.289993812,-0.088075216,-0.408140464,-0.100833872,-0.574493216,-0.123134347,0.088377051,-0.046200455,-0.252553858,-0.206688179,-0.329462151,0.242190726,-4489.543074,37.19449873,428.6786465,10.75369538
0.124576126,-0.012937986,0.003909388,0.174164273,0.106753857,0.327880934,0.093413531,0.032308058,0.091510467,0.022803625,0.22175303,0.059389132,0.093772574,-0.081366205,0.082814072,0.029798067,0.255525627,0.025630992,0.171095676,-0.018041348,0.040800582,-0.009696257,0.007654283,0.079628271,0.047542086,0.237645204,-0.008857869,0.121883814,0.038114062,-0.004616502,0.120873743,-4550.329779,39.70171226,448.2451876,12.29485085
-0.097784427,0.086667965,-0.005208944,0.021096222,0.124243487,0.269898777,-0.013176459,0.156562682,-0.073053741,-0.022080567,0.011948929,0.045286813,0.031586372,-0.087482207,0.068265017,0.108381661,0.0373979,-0.055432148,-0.041969413,-0.057955189,-0.03838615,0.123280154,0.004904501,0.150976305,0.112091613,0.117314646,-0.031397141,-0.016670786,0.031416059,-0.104394924,0.091677947,-4563.792854,39.24847248,455.7650143,12.1821041
-0.041155881,0.178073216,-0.025119695,0.043268618,0.02956634,0.282796936,0.082593098,0.132439898,-0.074466378,0.015376072,0.04089924,0.035626807,0.007210752,0.096096077,0.114357296,-0.094429643,0.131202572,-0.085018607,-0.049967919,-0.055695514,-0.062648866,0.078893617,0.025580349,-0.006387654,0.092975209,0.332654738,-0.010377672,0.004161248,-0.050169889,0.020288369,0.107139234,-4449.076016,38.13250414,479.7729949,12.96156937
-0.03976886,0.156827278,-0.167378134,0.028461028,-0.074115672,0.135413911,-0.080654254,-0.045636889,-0.065761074,0.016084763,-0.076592907,0.072250235,-0.026136508,-0.055587167,0.014560821,-0.096558992,0.047241365,-0.098338269,-0.174351262,0.171005089,-0.152857888,0.059013632,-0.027888636,0.092058878,-0.084981714,0.256404549,-0.001697469,0.020780397,-0.109591393,0.119447969,0.103878172,-4465.480557,39.72272361,431.9543959,11.43784925
-0.02265762,-0.080574372,0.138059365,0.097718474,-0.160806732,0.253050679,-0.119878536,-0.164667422,-0.15331831,-0.074872567,0.152936974,0.028792261,-0.091935765,-0.127270861,-0.054268588,-0.022941733,-0.01362092,0.08809684,0.002149511,-0.094306615,-0.123121759,-0.016349274,-0.118709424,0.011544995,-0.053680324,0.109989635,0.022919912,0.142205965,0.015963772,0.029403234,0.105164967,-4518.848095,37.95631938,445.6514846,11.11399462
-0.055987426,0.022260645,-0.043816714,0.047893253,0.033647905,0.225088579,-0.026506881,0.013168698,-0.102975618,0.063390729,-0.048191607,-0.004809449,0.004997687,0.126409745,0.09774199,0.195976458,-0.070482153,0.094632968,-0.042026675,0.050114933,-0.041319852,0.224973795,-0.111364038,0.081207381,-0.03526794,0.227526809,-0.057581982,0.115962739,-0.165281498,0.199380304,0.110726882,-4501.184695,38.48024944,439.5605283,11.26806263
